#Wj xj yj
6.406933716970095e-60 2.744078566666667 2.5
6.163409682136084e-60 2.671865973333333 2.625
6.408967618624071e-60 2.744078566666667 2.75
6.164070468206436e-60 2.671865973333333 2.875
6.408376788299854e-60 2.744078566666667 3.0
6.165194949588948e-60 2.671865973333333 3.125
6.409592471602895e-60 2.744078566666667 3.25
6.166807210113767e-60 2.671865973333333 3.375
6.416894846695677e-60 2.744078566666667 3.5
6.187158713327114e-60 2.671865973333333 3.625
6.459798430266495e-60 2.744078566666667 3.75
6.26089304991838e-60 2.671865973333333 3.875
6.581320729606442e-60 2.744078566666667 4.0
6.437989075417608e-60 2.671865973333333 4.125
6.848290999452113e-60 2.744078566666667 4.25
6.801734007848732e-60 2.671865973333333 4.375
7.372387605772439e-60 2.744078566666667 4.5
7.485981428669988e-60 2.671865973333333 4.625
8.347545644593525e-60 2.744078566666667 4.75
8.796283862196506e-60 2.671865973333333 4.875
9.722261989452436e-60 2.744078566666667 4.958333333333333
1.010036427578204e-59 2.8885037533333335 0.041666666666666664
1.0162798663166973e-59 2.9607163466666666 0.125
9.062871910727843e-60 2.8885037533333335 0.25
8.808208863696905e-60 2.9607163466666666 0.375
8.02173174305416e-60 2.8885037533333335 0.5
7.976740564545812e-60 2.9607163466666666 0.625
7.428246169914284e-60 2.8885037533333335 0.75
7.530089832872631e-60 2.9607163466666666 0.875
7.123018358228409e-60 2.8885037533333335 1.0
7.311707050367724e-60 2.9607163466666666 1.125
6.982610415421653e-60 2.8885037533333335 1.25
7.220817342349072e-60 2.9607163466666666 1.375
6.931820273444965e-60 2.8885037533333335 1.5
7.19612865693387e-60 2.9607163466666666 1.625
6.923373624972261e-60 2.8885037533333335 1.75
7.195030340109709e-60 2.9607163466666666 1.875
6.922172481713611e-60 2.8885037533333335 2.0
7.19390238236584e-60 2.9607163466666666 2.125
6.921158090322807e-60 2.8885037533333335 2.25
7.190852263495772e-60 2.9607163466666666 2.375
6.920799285448315e-60 2.8885037533333335 2.5
7.192521831745169e-60 2.9607163466666666 2.625
6.9209324691703e-60 2.8885037533333335 2.75
7.191606645437048e-60 2.9607163466666666 2.875
6.921885999250496e-60 2.8885037533333335 3.0
7.194607750841662e-60 2.9607163466666666 3.125
6.922885284868703e-60 2.8885037533333335 3.25
7.196678648335357e-60 2.9607163466666666 3.375
6.929817461323899e-60 2.8885037533333335 3.5
7.216253364381384e-60 2.9607163466666666 3.625
6.974543365304902e-60 2.8885037533333335 3.75
7.298462757789681e-60 2.9607163466666666 3.875
7.103844839112247e-60 2.8885037533333335 4.0
7.501706456321923e-60 2.9607163466666666 4.125
7.390402094606829e-60 2.8885037533333335 4.25
7.923520195973657e-60 2.9607163466666666 4.375
7.954336640417372e-60 2.8885037533333335 4.5
8.717651075613336e-60 2.9607163466666666 4.625
8.953812368633458e-60 2.8885037533333335 4.75
1.0026815418837547e-59 2.9607163466666666 4.875
1.012807531689715e-59 2.8885037533333335 4.958333333333333
1.2361794624737248e-59 3.1773541266666663 0.041666666666666664
1.1282757274313567e-59 3.105141533333333 0.125
